"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Biosynthesis of other secondary metabolites","ath00999","Biosynthesis of various plant secondary metabolites","10/81","70/6229",0.142857142857143,10.9858906525573,9.64340943196614,1.65445697283711e-08,7.7759477723344e-07,6.44367452578663e-07,"AT1G56430/AT5G04950/AT5G56080/AT1G09240/AT2G32860/AT3G60140/AT5G36140/AT4G31940/AT5G36130/AT3G12900",10
"Metabolism","Metabolism of terpenoids and polyketides","ath00909","Sesquiterpenoid and triterpenoid biosynthesis","4/81","23/6229",0.173913043478261,13.3741277509393,6.823740610721,0.000194708141052482,0.00457564131473333,0.00379168485207465,"AT5G48010/AT5G24140/AT5G42600/AT5G36150",4
"Metabolism","Metabolism of other amino acids","ath00480","Glutathione metabolism","7/81","102/6229",0.0686274509803922,5.27753570564028,4.9994205505467,0.000330936416841495,0.00518467053051676,0.00429636751688959,"AT1G27140/AT1G17190/AT3G43800/AT1G78340/AT1G17180/AT5G02780/AT5G62480",7
"Metabolism","Biosynthesis of other secondary metabolites","ath00940","Phenylpropanoid biosynthesis","7/81","127/6229",0.0551181102362205,4.23865072421503,4.23233225654138,0.00123443952423484,0.0145046644097594,0.0120195427359709,"AT2G41480/AT5G66690/AT4G36220/AT1G34510/AT5G26310/AT1G24735/AT3G50740",7
