"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT2G37330",118.510853281721,1.07949173522063,0.301260881510214,3.13941783441194e-05,0.00103818666114008,"AT2G37330","ALS3","Encodes an ABC transporter-like protein, without an ATPase domain, required for aluminum (Al) resistance/tolerance and may function to redistribute accumulated Al away from sensitive tissues in order to protect the growing root from the toxic effects of Al."
"AT5G44550",1078.51567965926,1.12338734903513,0.314990200922987,3.15415433304942e-05,0.00103977987023135,"AT5G44550","CASPL1B1",NA
"AT4G02270",378.902450186437,1.21414382245777,0.343690872141155,3.1895776815616e-05,0.00104816121742352,"AT4G02270","RHS13",NA
"AT1G22160",34.1168425584117,1.77376060042044,0.519553858601384,3.3124368040509e-05,0.0010782543886357,"AT1G22160",NA,NA
"AT3G61930",50.9154192650779,2.31996178359892,0.69325425036521,3.31023953779252e-05,0.0010782543886357,"AT3G61930",NA,NA
"AT1G66800",40.1028597018862,1.92054020106789,0.561292822604879,3.51817313786015e-05,0.00112442100622524,"AT1G66800",NA,"similar to Eucalyptus gunnii alcohol dehydrogenase of unknown physiological function (GI:1143445), apple tree, PIR:T16995; NOT a cinnamyl-alcohol dehydrogenase"
"AT1G74860",106.785303946177,1.03598292115626,0.291203454948344,3.54054395620259e-05,0.00112813137668303,"AT1G74860",NA,NA
"AT1G64950",30.1782867656701,1.46358103793376,0.421659305124098,3.57805849586641e-05,0.00113760097935976,"AT1G64950","CYP89A5","member of CYP89A"
"AT5G59820",164.745130035502,1.23949916601703,0.355367497151639,3.66226242990031e-05,0.00115289780938874,"AT5G59820","AtZAT12","Encodes a zinc finger protein involved in high light and cold acclimation. Overexpression of this putative transcription factor increases the expression level of 9 cold-responsive genes and represses the expression level of 15 cold-responsive genes, including CBF genes. Also, lines overexpressing this gene exhibits a small but reproducible increase in freeze tolerance. Because of the repression of the CBF genes by the overexpression of this gene, the authors speculate that this gene may be involved in negative regulatory circuit of the CBF pathway."
"AT1G76690",110.11068209707,1.03864082585894,0.292601643169838,3.7274007239954e-05,0.00116292683897749,"AT1G76690","ATOPR2","Encodes one of the closely related 12-oxophytodienoic acid reductases. This enzyme is not expected to participate in jasmonic acid biosynthesis because during in vitro assays, it shows very little activity with the naturally occurring OPDA isomer. Shows activity towards 2,4,6-trinitrotoluene.  Expressed predominately in root. Predicted to be a cytosolic protein."
"AT3G10120",174.284632802571,1.44748501135236,0.422725023721751,3.78090259076854e-05,0.00117611874952601,"AT3G10120",NA,NA
"AT4G36240",139.727187136607,1.08048500382459,0.30734597074778,3.89928976832285e-05,0.00120224278356848,"AT4G36240","GATA7","Encodes a member of the GATA factor family of zinc finger transcription factors."
"AT4G24570",148.702891699006,1.51931510072997,0.445704209829524,3.92232505777242e-05,0.0012057986387281,"AT4G24570","DIC2","Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470)."
"AT1G61795",87.8051445314922,1.05644422081252,0.298637907155085,3.95644366599671e-05,0.00121450655785193,"AT1G61795",NA,NA
"AT1G04770",420.572215233335,1.3581641713723,0.397405654540528,4.02033865406127e-05,0.00122872332683744,"AT1G04770","SDI2",NA
"AT2G07739",21.6725710240272,1.71532063121926,0.507899863299053,4.09212183755091e-05,0.00124702654718157,"AT2G07739",NA,NA
"AT1G09610",27.2900603846334,1.36991988959866,0.3985825336889,4.10967408479142e-05,0.00125055771932855,"AT1G09610","GXM1",NA
"AT3G49930",22.6664190967764,1.42718315227211,0.419569198261803,4.52087451739139e-05,0.00133499514269898,"AT3G49930",NA,NA
"AT3G57645",17.9965650925697,2.16161298789207,0.664684267422257,4.58356837078872e-05,0.00134970638289264,"AT3G57645",NA,NA
"AT2G24440",59.591571229821,1.11865628562509,0.322937135189419,4.73116601258234e-05,0.00138538584664527,"AT2G24440",NA,NA
"AT5G65300",58.2842285330428,1.21699239088834,0.356305307076984,4.78556649444774e-05,0.00139741207691631,"AT5G65300","SUPA",NA
"AT4G23870",461.975949479889,1.10670180140947,0.320751176553683,4.88406947925225e-05,0.00142221389863893,"AT4G23870","TZ1",NA
"AT5G46890",344.636792375567,1.04557982078935,0.301020494667265,4.91307711978388e-05,0.00142669771320483,"AT5G46890",NA,NA
"AT5G38700",18.6675531812471,1.52381282872715,0.456943216312159,5.16367287931795e-05,0.00148303514503808,"AT5G38700",NA,NA
"AT5G54770",749.554431095023,1.01796765609082,0.294010114614087,5.31299577735068e-05,0.00151968222383139,"AT5G54770","THI1","Encodes a thiamine biosynthetic gene that has a dual function in thiamine biosynthesis and mitochondrial DNA damage tolerance. It appears to be involved in producing the thiazole portion of thiamine (vitamin B1). A crystal structure of the protein reveals that it forms a 2-ring homo-octamer."
"AT4G01060",9.55752815671743,2.37754281538887,0.716805688996941,5.60437640170407e-05,0.00158706211352455,"AT4G01060","CPL3","Encodes a Myb-related protein similar to CPC. Involved in epidermal cell differentiation. Mutants have reduced numbers of root hairs and increased trichome branching. Involved in endoreduplication. Loss of function mutants are hypertrophic and early flowering."
"AT1G63245",23.2784737722799,1.37009448615349,0.408788277892992,5.6663563036415e-05,0.00159250437348723,"AT1G63245","CLE14","Member of a large family of putative ligands homologous to the Clavata3 gene.  Consists of a single exon. Can not replace CLV3 function in vivo."
"AT4G33960",134.457209007563,1.18587123173111,0.351246451302088,5.69657007967789e-05,0.00159671508409795,"AT4G33960",NA,NA
"AT2G07671",203.495306220613,1.54456836129792,0.470381847096495,5.72174421432151e-05,0.00159736470302883,"AT2G07671",NA,NA
"AT5G62910",166.787040402241,1.04718006055125,0.305809635711037,5.74012742019465e-05,0.00159824052445951,"AT5G62910",NA,NA
"AT1G49475",27.7584664808908,1.26906358986284,0.377482550716416,5.75098457207479e-05,0.00159913982146048,"AT1G49475",NA,NA
"AT1G51355",98.8292047268657,1.01757049078706,0.295481897923225,5.77639374846244e-05,0.00160407776596376,"AT1G51355","SMR9",NA
"AT1G51440",208.010646134262,1.45412527831789,0.439978287505988,5.80182291905652e-05,0.00160688268587766,"AT1G51440","DALL2","Encodes a lipase that hydrolyzes phosphatidylcholine, glycolipids as well as triacylglycerols."
"AT5G19500",12.5958856466514,1.86638745990032,0.56739464371241,5.85402887539109e-05,0.00161706942557905,"AT5G19500",NA,NA
"AT1G60660",169.674769497901,1.0285482883693,0.301158900092628,6.04638757613892e-05,0.00165927437069802,"AT1G60660","ATCB5LP","member of Cytochromes b5"
"AT4G28840",20.1500010223964,1.67878315426616,0.513347212903342,6.34504588848881e-05,0.00171430711466568,"AT4G28840","TIE1",NA
"AT4G30660",168.409719946184,1.13568550912243,0.338155424274922,6.44449959985969e-05,0.00173447212593913,"AT4G30660",NA,NA
"AT3G04530",90.5685174015459,1.05649494140435,0.312011647660764,6.48414891035958e-05,0.00174067434128808,"AT3G04530","ATPPCK2","Encodes a second Arabidopsis phosphoenolpyruvate carboxylase kinase gene product with a different expression pattern from PPCK1. Expression of the gene is upregulated by exposure of the plant to light."
"AT5G41471",44.900400144779,1.76384273817062,0.553927988374641,6.88655540536984e-05,0.00182302425036596,"AT5G41471",NA,NA
"AT1G12060",123.360117420515,1.02799128534308,0.305208954557349,7.23719116187738e-05,0.00189906069962354,"AT1G12060","ATBAG5","A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development."
"AT3G61940",110.336010573231,5.23732171771224,1.78188273510727,7.56713733172934e-05,0.00195867409008688,"AT3G61940","ATMTPA1","member of Zinc transporter (ZAT) family"
"AT2G21130",69.7310008287585,1.11945550720716,0.338211992150182,7.63777853813106e-05,0.00196966377405235,"AT2G21130",NA,NA
"AT5G14150",87.619805298929,1.02450745444697,0.305246460685358,7.70558315643908e-05,0.00197984382914095,"AT5G14150","AthD-1",NA
"AT2G22000",54.9285185578667,1.16008837012246,0.35215279647243,7.85694809438307e-05,0.00201379919005911,"AT2G22000","PROPEP6",NA
"AT1G24735",32.2441173485316,1.19174205820985,0.362633749016974,7.88416072122516e-05,0.00201830663835417,"AT1G24735",NA,NA
"AT4G27652",64.3307033069112,1.47448413133277,0.458506746529568,7.90664189654386e-05,0.00202130607194332,"AT4G27652",NA,NA
"AT5G67450",81.4376240807555,1.02633591549969,0.307772966697266,8.07552099422398e-05,0.00205474967433131,"AT5G67450","AZF1","Encodes zinc-finger protein. mRNA levels are elevated in response to low temperature, cold temperatures and high salt. The protein is localized to the nucleus and acts as a transcriptional repressor."
"AT3G10930",128.060431055143,1.31108326244146,0.40643273226482,8.30055229767154e-05,0.00208583487623125,"AT3G10930","IDL7",NA
"AT1G28670",20.614963843035,1.5132093138975,0.471966812397539,8.38926167224744e-05,0.00209641549726269,"AT1G28670","ARAB-1","Arabidopsis thaliana lipase"
