"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT2G19582",11.102294403728,-1.35421227163365,1.27761691901752,0.00681632284902705,0.0414595372360607,"AT2G19582",NA,NA
"AT3G28380",10.0220368740446,-1.15171638254081,0.800869103833615,0.00686694868482583,0.0416664734895318,"AT3G28380","ABCB17",NA
"AT3G51075",16.2671863742968,-1.13362816438141,0.813510998436043,0.00686932721267629,0.0416664734895318,"AT3G51075",NA,NA
"AT1G33930",5.63000844980402,-1.36870567368318,1.02064591852724,0.00690663591828282,0.041851019844716,"AT1G33930","IAN6",NA
"AT4G35770",326.34981246431,-1.27319939735796,1.65887180578178,0.00694509353535115,0.0420233278678708,"AT4G35770","ATSEN1","Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant."
"AT4G15370",31.0172105947043,-1.01480193991023,0.693484201304962,0.00735522223250333,0.0435989791706714,"AT4G15370","BARS1","Encodes an oxidosqualene cyclase that primarily produces the tetracyclic triterpene baruol in vitro and when expressed in yeast. It can also make 22 other minor triterpenoid products with varying numbers of rings."
"AT5G65158",4.45930375633175,-1.73909413376414,1.58424617788833,0.007367840636484,0.0436244413398824,"AT5G65158","PLAT3",NA
"AT3G28600",11.7737312622221,-1.13806454441266,0.864294482322725,0.00741965138049576,0.0438445351869994,"AT3G28600",NA,NA
"AT1G29180",11.3220892862119,-1.15335957507261,0.879204793286638,0.00742734949390052,0.0438776583513999,"AT1G29180",NA,NA
"AT4G16240",6.04407953970279,-1.39219637504326,1.1897862225242,0.00756239053684547,0.0444873961828008,"AT4G16240",NA,NA
"AT4G13300",153.982616930787,-1.16054310310125,1.4634019775498,0.00801715698582876,0.0463051551969382,"AT4G13300","ATTPS13","Catalyzes the conversion of farnesyl diphosphate to (Z)-gamma-bisabolene and the additional minor products E-nerolidol and alpha-bisabolol. Expressed in cortex and sub-epidermal layers of roots, leaf hydathodes and flower stigmata. Induced by wounding."
"AT2G17036",7.08157911289524,-1.22143039342887,0.993025472955634,0.00809894180210058,0.0465702923041707,"AT2G17036","AtFDA12",NA
"AT1G61490",12.3905109080991,-1.02721702575324,0.739149944655005,0.00843646638412327,0.0477922059469139,"AT1G61490",NA,NA
"AT1G19394",4.96262363030087,-1.33251489523791,1.1126454226712,0.00850695820597736,0.0480616776465969,"AT1G19394",NA,NA
"AT2G42365",5.39537767756501,-1.3541383241077,1.26743828016592,0.00857919877951899,0.0483525488202675,"AT2G42365",NA,NA
