"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT2G01330",36.9456128476948,-1.08731281261363,0.51238856941251,0.00228470272051048,0.0203747670090271,"AT2G01330","AIP1-1",NA
"AT1G69588",19.8923748116982,1.22525678874202,0.597376747871261,0.00228678609226103,0.0203846756846704,"AT1G69588","CLE45","Belongs to a large gene family, called CLE for CLAVATA3/ESR-related, encoding small peptides with conserved carboxyl termini"
"AT4G02620",759.086135824419,0.480110123159383,0.176839725334649,0.00229143493692466,0.0204174351413355,"AT4G02620","VHA-F",NA
"AT3G20510",539.561667243421,0.570952217609059,0.219384211136796,0.0022941485201368,0.0204329302774801,"AT3G20510","FAX6",NA
"AT2G24420",502.334189310307,0.542105641961307,0.205473335315085,0.00229580404537542,0.0204389926179792,"AT2G24420",NA,NA
"AT2G19800",345.940776600043,-1.03047768178361,0.483363958610256,0.00231514684420125,0.0205937075670443,"AT2G19800","MIOX2","Encodes a myo-inositol oxygenase family gene."
"AT5G49780",44.4376536342209,-0.902319117423373,0.399818503668541,0.00231442137032917,0.0205937075670443,"AT5G49780",NA,NA
"AT3G53240",40.3293817212778,-0.824473584092132,0.353127979348534,0.00231653054301254,0.0205972770843092,"AT3G53240","AtRLP45",NA
"AT1G17210",550.118828464461,-0.533201674247924,0.201772650632597,0.00231937915100448,0.0206095528602843,"AT1G17210","ATILP1",NA
"AT5G18040",53.0536137947175,-0.940426901523201,0.424732016915427,0.00231987717019321,0.0206095528602843,"AT5G18040","HTT2",NA
"AT1G55320",59.6729007039797,-0.773192741144218,0.326023762049972,0.00232333384247164,0.0206315194160358,"AT1G55320","AAE18","Encodes a protein with similarity to acyl activating enzymes. AAE18 is localized to the peroxisome where it may be involved in metabolism of auxin precursors to active auxins."
"AT1G63180",149.284448132455,-0.900063968615007,0.401390211242935,0.00232518188251817,0.0206391885473649,"AT1G63180","UGE3","Encodes a protein with UDP-D-glucose 4-epimerase activity. Involved in pollen development."
"AT1G09690",4309.16416627704,0.6106056349006,0.23914047831064,0.00232709921913325,0.0206474660297705,"AT1G09690","eL21y",NA
"AT1G22470",32.6724215843428,1.09570795705916,0.52821011470695,0.00233035513414152,0.0206566230547913,"AT1G22470",NA,NA
"AT3G07160",434.378385200201,-0.677717616035986,0.274460612251013,0.00233160588279123,0.0206566230547913,"AT3G07160","ATGSL10","Encodes GSL10, a member of the Glucan Synthase-Like (GSL) family believed to be involved in the synthesis of the cell wall component callose.  GSL10 is required for male gametophyte development and plant growth.  Has a role in entry of microspores into mitosis.  GSL10 mutation leads to perturbation of microspore division symmetry, irregular callose deposition and failure of generative cell engulfment by the vegetative cell cytoplasm.  Also refer to GSL8 (At2g36850)."
